# Fuente: https://raw.githubusercontent.com/davidmuma/EPG_dobleM/master/guiatv.xml
# o https://raw.githubusercontent.com/davidmuma/EPG_dobleM/master/guiaiptv.xml
# o https://raw.githubusercontent.com/davidmuma/EPG_dobleM/master/guiatv_sincolor.xml.gz
# AMC Break,AMC Break
AMC Crime,AMC Crime
# AMC HD,AMC
AXN HD,AXN
AXN Movies HD,AXN Movies
# Be Mad,Be Mad
# BOM Cine,BOM Cine
# CMM TV,CMM TV
# Calle 13 HD,Calle 13
Canal FlixOlé 1,Canal FlixOlé 1
Canal FlixOlé 2,Canal FlixOlé 2
# Canal Hollywood HD,Canal Hollywood
Caza y Pesca HD,Caza y Pesca
# Cazavisión,Cazavisión
Cine Feel Good,Cine Feel Good
Cines Verdi TV,Cines Verdi TV
# DARK,DARK
DAZN 1 BAR,DAZN 1 BAR
DAZN 1 HD,DAZN 1
DAZN 2 BAR,DAZN 2 BAR
DAZN 2 HD,DAZN 2
DAZN 3 HD,DAZN 3
DAZN 4 HD,DAZN 4
# DAZN F1 BAR,DAZN F1 BAR
DAZN F1 HD,DAZN F1
# DAZN LALIGA EA SPORTS 2,DAZN LALIGA EA SPORTS 2
# DAZN LALIGA EA SPORTS,DAZN LALIGA EA SPORTS
DAZN LaLiga 2 HD,DAZN LaLiga 2
# DAZN LaLiga 3,DAZN LaLiga 3
# DAZN LaLiga 4,DAZN LaLiga 4
# DAZN LaLiga 5,DAZN LaLiga 5
DAZN LaLiga HD,DAZN LaLiga
# DAZN Liga F 2,DAZN Liga F 2
# DAZN Liga F 3,DAZN Liga F 3
# DAZN Liga F,DAZN Liga F
# DAZN MotoGP,DAZN MotoGP
ESPN 2,ESPN 2
ESPN 3,ESPN 3
# ESPN 4,ESPN 4
# ESPN Deportes,ESPN Deportes
# ESPN International,ESPN International
# ESPN,ESPN
Eurosport 1 HD,Eurosport 1
Eurosport 2,Eurosport 2
# Eurosport 4K,Eurosport 4K
# Extreme Channel,Extreme Channel
# FIFA+,FIFA+
FOX SPORTS 2,FOX SPORTS 2
FOX SPORTS 3,FOX SPORTS 3
FOX SPORTS,FOX SPORTS
GOL,GOL
GolStadium,GolStadium
# HBO Max Avances,HBO Max Avances
Iberalia TV,Iberalia TV
Iberalia caza,Iberalia caza,,+2
# LALIGA Inside,LALIGA Inside
# La 1 HD,La 1
# La 7 CyL,La 7 CyL
# La 7 Segovia,La 7 Segovia
# La 8 Segovia,La 8 Segovia
# LaLiga TV BAR 2,LaLiga TV BAR 2
# LaLiga TV BAR 3,LaLiga TV BAR 3
# LaLiga TV BAR 4,LaLiga TV BAR 4
# LaLiga TV BAR 5,LaLiga TV BAR 5
# LaLiga TV BAR HD,LaLiga TV BAR
LaLiga TV Hypermotion 2,LaLiga TV Hypermotion 2
LaLiga TV Hypermotion 3,LaLiga TV Hypermotion 3
LaLiga TV Hypermotion HD,LaLiga TV Hypermotion
# Liga de Campeones BAR 2,Liga de Campeones BAR 2
M+ Acción HD,M+ Acción
M+ Cine Español,M+ Cine Español
M+ Clásicos HD,M+ Clásicos
M+ Comedia HD,M+ Comedia
M+ Deportes 2 HD,M+ Deportes 2
M+ Deportes 3,M+ Deportes 3
M+ Deportes 4,M+ Deportes 4
M+ Deportes 5,M+ Deportes 5
M+ Deportes 6,M+ Deportes 6
M+ Deportes 7,M+ Deportes 7
M+ Deportes 8,M+ Deportes 8
M+ Deportes HD,M+ Deportes
M+ Documentales HD,M+ Documentales
M+ Drama HD,M+ Drama
M+ Ellas Vamos HD,M+ Ellas Vamos
M+ En juego,M+ En juego
M+ Estrenos HD,M+ Estrenos
M+ Golf 2 HD,M+ Golf 2
M+ Golf HD,M+ Golf
M+ Hits HD,M+ Hits
M+ Indie HD,M+ Indie
M+ LaLiga 2 HD,M+ LaLiga 2
M+ LaLiga 2 HDR,M+ LaLiga 2 HDR
M+ LaLiga 3 HD,M+ LaLiga 3
M+ LaLiga 4,M+ LaLiga 4
M+ LaLiga 5,M+ LaLiga 5
M+ LaLiga 6,M+ LaLiga 6
M+ LaLiga HD,M+ LaLiga
M+ LaLiga HDR,M+ LaLiga HDR
M+ Liga de Campeones 10,M+ Liga de Campeones 10
M+ Liga de Campeones 11,M+ Liga de Campeones 11
M+ Liga de Campeones 12,M+ Liga de Campeones 12
M+ Liga de Campeones 13,M+ Liga de Campeones 13
M+ Liga de Campeones 14,M+ Liga de Campeones 14
M+ Liga de Campeones 15,M+ Liga de Campeones 15
M+ Liga de Campeones 16,M+ Liga de Campeones 16
M+ Liga de Campeones 17,M+ Liga de Campeones 17
M+ Liga de Campeones 18,M+ Liga de Campeones 18
M+ Liga de Campeones 19,M+ Liga de Campeones 19
M+ Liga de Campeones 2 HD,M+ Liga de Campeones 2
# M+ Liga de Campeones 2 HDR,M+ Liga de Campeones 2 HDR
M+ Liga de Campeones 3 HD,M+ Liga de Campeones 3
M+ Liga de Campeones 4,M+ Liga de Campeones 4
M+ Liga de Campeones 5,M+ Liga de Campeones 5
M+ Liga de Campeones 6,M+ Liga de Campeones 6
M+ Liga de Campeones 7,M+ Liga de Campeones 7
M+ Liga de Campeones 8,M+ Liga de Campeones 8
M+ Liga de Campeones 9,M+ Liga de Campeones 9
M+ Liga de Campeones HD,M+ Liga de Campeones
# M+ Liga de Campeones HDR,M+ Liga de Campeones HDR
# M+ Navidad,M+ Navidad
M+ Originales HD,M+ Originales
# M+ PopUp 2,M+ PopUp 2
# M+ PopUp,M+ PopUp
M+ Vamos 2,M+ Vamos 2
M+ Vamos HD,M+ Vamos
# M+ Wimbledon UHD,M+ Wimbledon
Movistar Plus+ HD,Movistar Plus+
# Nat Geo Wild HD,Nat Geo Wild
# National Geographic HD,National Geographic
# Odisea,Odisea
Onetoro,Onetoro
# PT | Sport TV +,PT | Sport TV +
# PT | Sport TV 1,PT | Sport TV 1
# PT | Sport TV 2,PT | Sport TV 2
# PT | Sport TV 3,PT | Sport TV 3
# PT | Sport TV 4,PT | Sport TV 4
# PT | Sport TV 5,PT | Sport TV 5
PT | Sport TV 6,PT | Sport TV 6
PT | Sport TV 7,PT | Sport TV 7
Paramount Network,Paramount Network
Primera Federación,Primera Federación
# Rally.TV,Rally.TV
RunTime Clásicos,RunTime Clásicos
Runtime Thriller-Terror,Runtime Thriller-Terror
# Sky Sports 16,Sky Sports 16
SkyShowtime,SkyShowtime
# Somos,Somos
# Somos Cine,Somos Cine
STAR Channel HD,STAR Channel
# Star TVE HD,Star TVE
# SyFy HD,SyFy
# TCM HD,TCM
# TUDN (Estados Unidos),TUDN (Estados Unidos)
# TUDN (México),TUDN (México)
# Teledeporte,Teledeporte
# Tennis Channel,Tennis Channel
# TyC Sports,TyC Sports
UK | Sky Sport Action,UK | Sky Sport Action,,2
UK | Sky Sport Arena,UK | Sky Sport Arena,,2
# UK | Sky Sport F1,UK | Sky Sport F1,,2
UK | Sky Sport Main Event,UK | Sky Sport Main Event,,2
UK | Sky Sport Mix,UK | Sky Sport Mix,,2
UK | Sky Sport Tennis,UK | Sky Sport Tennis,,2
UK | TNT Sports 1,UK | TNT Sports 1,,2
UK | TNT Sports 2,UK | TNT Sports 2,,2
UK | TNT Sports 3,UK | TNT Sports 3,,2
UK | TNT Sports 4,UK | TNT Sports 4,,2
# UK | TNT Sports Ultimate,UK | TNT Sports Ultimate
# VINX,VINX
# Vamos BAR 2,Vamos BAR 2
Vamos BAR,Vamos BAR
Warner TV HD,Warner TV
# XTRM,XTRM
